,node_number,edge_number,graph,fw_node_wfs,bw_node_wfs,connected,fw_len,bw_len
0,3,1,"move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
1,3,2,"move(2,1). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
2,3,5,"move(1,2). move(1,3). move(2,1). move(2,3). move(3,2).",{'draw'},{'draw'},SAT,1,1
3,3,4,"move(1,2). move(2,1). move(3,1). move(3,2).",{'draw'},"{'won', 'lost'}",SAT,1,2
4,3,3,"move(2,3). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
5,3,3,"move(1,3). move(2,1). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
6,3,2,"move(1,3). move(2,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
7,3,2,"move(1,2). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
8,3,4,"move(1,2). move(1,3). move(2,1). move(3,2).",{'draw'},{'draw'},SAT,1,1
9,3,3,"move(1,3). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
10,3,4,"move(1,2). move(1,3). move(2,3). move(3,1).",{'draw'},{'draw'},SAT,1,1
11,3,2,"move(1,2). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
12,3,4,"move(1,3). move(2,3). move(3,1). move(3,2).",{'draw'},{'draw'},SAT,1,1
13,3,5,"move(1,3). move(2,1). move(2,3). move(3,1). move(3,2).",{'draw'},{'draw'},SAT,1,1
14,3,3,"move(1,3). move(2,3). move(3,1).",{'draw'},"{'won', 'lost'}",SAT,1,2
15,3,3,"move(1,2). move(2,1). move(3,2).",{'draw'},"{'won', 'lost'}",SAT,1,2
16,3,4,"move(1,2). move(1,3). move(2,1). move(3,1).",{'draw'},{'draw'},SAT,1,1
17,3,4,"move(1,2). move(1,3). move(2,3). move(3,2).",{'draw'},"{'won', 'lost'}",SAT,1,2
18,3,4,"move(1,2). move(2,1). move(2,3). move(3,2).",{'draw'},{'draw'},SAT,1,1
19,3,2,"move(1,2). move(1,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
20,3,3,"move(1,2). move(2,1). move(2,3).","{'won', 'lost'}",{'draw'},SAT,2,1
21,3,4,"move(2,1). move(2,3). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
22,3,4,"move(1,2). move(2,1). move(2,3). move(3,1).",{'draw'},{'draw'},SAT,1,1
23,3,3,"move(2,1). move(2,3). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
24,3,2,"move(2,3). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
25,3,5,"move(1,2). move(1,3). move(2,3). move(3,1). move(3,2).",{'draw'},{'draw'},SAT,1,1
26,3,3,"move(2,1). move(3,1). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
27,3,5,"move(1,2). move(2,1). move(2,3). move(3,1). move(3,2).",{'draw'},{'draw'},SAT,1,1
28,3,2,"move(3,1). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
29,3,6,"move(1,2). move(1,3). move(2,1). move(2,3). move(3,1). move(3,2).",{'draw'},{'draw'},SAT,1,1
30,3,1,"move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
31,3,3,"move(1,3). move(2,1). move(3,2).",{'draw'},{'draw'},SAT,1,1
32,3,2,"move(1,2). move(2,1).",{'draw'},{'draw'},SAT,1,1
33,3,4,"move(1,3). move(2,1). move(2,3). move(3,1).",{'draw'},"{'won', 'lost'}",SAT,1,2
34,3,5,"move(1,2). move(1,3). move(2,1). move(2,3). move(3,1).",{'draw'},{'draw'},SAT,1,1
35,3,3,"move(2,1). move(2,3). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
36,3,4,"move(1,2). move(1,3). move(2,1). move(2,3).","{'won', 'lost'}",{'draw'},SAT,2,1
37,3,3,"move(1,3). move(2,1). move(3,1).",{'draw'},"{'won', 'lost'}",SAT,1,2
38,3,5,"move(1,2). move(1,3). move(2,1). move(3,1). move(3,2).",{'draw'},{'draw'},SAT,1,1
39,3,4,"move(1,2). move(2,3). move(3,1). move(3,2).",{'draw'},{'draw'},SAT,1,1
40,3,4,"move(1,3). move(2,1). move(3,1). move(3,2).",{'draw'},{'draw'},SAT,1,1
41,3,3,"move(1,2). move(1,3). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
42,3,4,"move(1,3). move(2,1). move(2,3). move(3,2).",{'draw'},{'draw'},SAT,1,1
43,3,3,"move(1,2). move(1,3). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
44,3,3,"move(1,2). move(1,3). move(3,1).","{'won', 'lost'}",{'draw'},SAT,2,1
45,3,2,"move(2,1). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
46,2,1,"move(2,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
47,3,1,"move(1,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
48,3,3,"move(1,2). move(1,3). move(2,1).","{'won', 'lost'}",{'draw'},SAT,2,1
49,3,2,"move(2,3). move(3,2).",{'draw'},{'draw'},SAT,1,1
50,3,3,"move(1,2). move(2,1). move(3,1).",{'draw'},"{'won', 'lost'}",SAT,1,2
51,3,3,"move(1,2). move(2,3). move(3,1).",{'draw'},{'draw'},SAT,1,1
52,3,2,"move(1,3). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
53,3,2,"move(1,2). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
54,3,2,"move(1,3). move(3,1).",{'draw'},{'draw'},SAT,1,1
55,3,4,"move(1,2). move(1,3). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
56,3,2,"move(1,3). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
57,3,3,"move(1,2). move(3,1). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
58,2,1,"move(1,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
59,3,1,"move(1,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
60,3,2,"move(2,1). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
61,2,2,"move(1,2). move(2,1).",{'draw'},{'draw'},SAT,1,1
62,3,3,"move(1,2). move(2,3). move(3,2).",{'draw'},"{'won', 'lost'}",SAT,1,2
63,3,1,"move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
64,3,1,"move(2,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
65,3,3,"move(1,3). move(2,3). move(3,2).",{'draw'},"{'won', 'lost'}",SAT,1,2
66,4,1,"move(1,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
67,4,2,"move(1,3). move(1,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
68,4,1,"move(2,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
69,4,1,"move(1,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
70,4,2,"move(1,4). move(2,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
71,4,2,"move(1,3). move(2,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
72,4,1,"move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
73,4,2,"move(1,3). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
74,4,3,"move(1,3). move(1,4). move(2,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
75,4,2,"move(2,1). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
76,4,2,"move(1,4). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",UNSAT,2,2
77,4,3,"move(1,3). move(2,1). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
78,4,3,"move(1,4). move(2,1). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
79,4,3,"move(1,3). move(1,4). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
80,4,4,"move(1,3). move(1,4). move(2,1). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
81,4,1,"move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
